id,starnames,mass,distance,radius,lum
0,Sun,1,0.000015813,1,1
1,Sirius,2.1,0008.6,1.71´,25.4
2,Canopus,15,0310,71,"13,500"
3,Alpha Centauri,1.1,0004.4,1.2,2
4,Arcturus,1.1,0037,26,170
5,Vega,2.2,0025,2.7,50
6,Capella,2.6,0043,12,150
7,Rigel,23,0860,78.9,"120,000"
8,Procyon,1.5,0011.4,1.9,7.7
9,Betelgeuse,20,0640[1],950,"60,000"
10,Achernar,6.7,0144,9.3,"3,000"
11,Hadar,10.5,0390,8.6,"42,000"
12,Altair,1.8,0017,1.8,10.5
13,Acrux,18,0320,8.9,"25,000"
14,Aldebaran,1.5,0065,44,520
15,Antares,12,0600,680,"75,000"
16,Spica,11.43,0260,7.47,"20,512"
17,Pollux,1.9,0034,8.8,43
18,Fomalhaut,1.9,0025,1.8,16.6
19,Deneb,19,"2,600",203,"200,000"
20,Mimosa,16,0350,8.4,"34,000"
21,Regulus,3.8,0077,3.1,290
22,Adhara,12.5,0430,14,"39,000"
23,Shaula,14.5,0700,8.8,"36,000"
24,Castor,2.8,0052,2.4,30
25,Gacrux,1.5,0088,84,820
26,Bellatrix,8.6,0240,5.8,"9,200"
27,Elnath,5.0,0130,4.2,700
28,Miaplacidus,3.5,0110,6.8,290
29,Alnilam,32,"2,000",42,"380,000"
30,Gamma Velorum,9.0,"01,100",6,"170,000"
31,Alnair,4.0,0101,3.4,260
32,Alioth,2.9,0081,4.2,110
33,Alnitak,33,01050,20,"120,000"
34,Dubhe,4.25,0120,30,300
35,Mirfak,8.5,0590,68,"5,000"
36,Wezen,17,"1,600",200,"82,000"
37,Sargas,5.7,0270,26,"1,800"
38,Kaus Australis,3.5,0140,6.8,360
39,Avior,9.0,0630,130,"60,000"
40,Alkaid,6.1,0104,3.4,"1,350"
41,Menkalinan,2.39,081,2.77,50
42,Atria,7,0390,92,"5,500"
43,Alhena,2.8,0109,3.3,120
44,Peacock,5.9,0180,4.8,"2,200"
45,Alsephina[2],2.4,0080,2.9,90
46,Mirzam,13.5,0500,10,"27,000"
47,Polaris,5.4,0430,39,"2,500"
48,Alphard,3.0,0180,50,780
49,Mintaka,24,01200,16.5,"190,000"
50,Scheat,2.1,0196,95,"1,500"
51,Almaaz,15,0653,140,"43,000"
52,Rasalgethi,2.8,0360,280,"8,300"
53,Tau Ceti,0.783,011.9,0.893,0.52
54,Delta Pavonis,0.991,019.92,1.22,1.22
55,Ran,0.82,010.48,0.74,0.34
56,V382 Carinae,20,"08,900",485,"212,000"
57,Eta Carinae,100,"07,500",60–881,"5,000,000"
58,Delta Cephei,4.5,0887,44.5,"2,000"
59,Mu Cephei,19.2,"06,000",972,"135,000"
60,Titawin,1.27,044.25,1.48,3.57
61,Rho Cassiopeiae,22,"08,154",636-981,"347,000 - 530,000"
62,P Cygni,30,"05,545",76,"610,000"
63,La Superba,,"01,000",129 - 342,"2,472 - 5,800"
64,VV Cephei,18.2,"04,900","516 - 1,050","200,000"
65,61 Cygni,0.7,011.41,0.665,0.153
66,R Doradus,0.7 - 1.0,0178,298,"4,350"
67,Polaris Australis,1.59,0281,3.74,38
68,R Coronae Borealis,0.85,"04,566",85,"10,000"
69,54 Piscium,0.76,036.1,0.94,0.52
70,Mira,1.2,0300,370,"9,000"
71,RW Cephei,13.9,"014,000","1,158","417,000"
72,Lacaille 8760,0.6,012.87,0.51,0.072
73,V838 Monocerotis,?,"019,896",380 - 750,"15,000"
74,HD 140283,?,0190,1.4,3.83
75,II Pegasi,0.8,0130,3.4,1.06
76,VY Canis Majoris,17,"03,900","1,420","178,000 - 270,000"
77,Pistol Star,100,"025,000",320,"1,700,000"
78,S Doradus,24,"0169,000",380,"910,000"
79,UY Scuti,7–10,"05,100",755,"86,300 - 87,100"
80,Barnard's Star,0.14,05.98,0.20,0.0035
81,Luhman 16,0.04,06.52,?,?
82,Proxima Centauri,0.12,04.25,0.15,0.0017
83,KIC 8462852,1.43,"01,470",1.58,4.68
84,R136a1,290,"0163,000",32,"8,710,000"
85,Melnick 42,189,"0163,000",21.1,"3,600,000"
86,WR 102,19,"018,134",0.39,"282,000"
87,VFTS 352,57.48,"0164,000",14.47,"330,000"
88,YBP 1194,1.01,"02,772",0.99,0.98
89,Gliese 1214,0.16,047.5,0.21,0.0033
90,NML Cygni,50,"05,251","1,640 - 2,770","229,000"
91,VB 10,0.075,018.72,0.10,0.0004
92,WOH G64,<20,"0163,000","1,540 - 1,730","340-589,000"
93,TRAPPIST-1,0.089,039.6,0.12,0.0005
94,2MASS J0523-1403,0.07,040.3,0.086,0.00013
95,WISE 0855−0714,0.003,07.27,?,?
96,Icarus,33,"014,400,000,000",?,"850,000"
